class,count,midpoint,bin_width,bin_mean,bin_std,uniform_std
0,2791,0.00020988608594052494,0.00010533296153880656,0.00016783038154244423,0.00010190925968345255,0.000030407007216126658
1,2670,0.00042055200901813805,0.00021066592307761312,0.0004098484932910651,0.0000616032411926426,0.000060814014432253316
2,2791,0.0006322124972939491,0.00021265505347400904,0.0006327308365143836,0.00005982912261970341,0.00006138822936918586
3,2586,0.0009460796136409044,0.0004150792374275625,0.0009381688432767987,0.00011597647971939296,0.00011982306023128331
4,2514,0.0014865698758512735,0.000665901112370193,0.0014579903800040483,0.00019523063383530825,0.0001922290975926444
5,2780,0.002352070529013872,0.0010651001939550042,0.0022980202920734882,0.0002971411740873009,0.00030746794072911143
6,2780,0.004250711295753717,0.0027321812231093645,0.004081601742655039,0.0008265916840173304,0.0007887128158472478
7,2560,0.008183290250599384,0.005132976919412613,0.007726507261395454,0.0014237022260203958,0.0014817628543823957
8,2700,0.017548374831676483,0.01359719131141901,0.016456549987196922,0.0038014412857592106,0.003925171215087175
9,2477,0.035754382610321045,0.022814828902482986,0.035028841346502304,0.0067410701885819435,0.006586073897778988
10,2591,0.06531454622745514,0.0363054983317852,0.06344551593065262,0.010313902050256729,0.010480495169758797
11,2625,0.11710701882839203,0.06727943569421768,0.11475290358066559,0.01980717107653618,0.019421899691224098
12,2601,0.21739445626735687,0.1332954466342926,0.20924358069896698,0.038501545786857605,0.03847908228635788
13,2556,0.39129120111465454,0.21449807286262512,0.38399142026901245,0.0591241791844368,0.06192026287317276
14,2600,0.605789303779602,0.10724905133247375,0.7003599405288696,0.13259795308113098,0.03096013516187668
